IF;THEN;CONFIDENCE
red;merkel;0.663453111305872
land;merkel;0.6826453617399023
fluchtlingspolitik;merkel;0.6890975482524778
regierung;merkel;0.6894618834080718
cdu;merkel;0.6960682876357993
parteitag;merkel;0.6974789915966386
fluchtlingskris;merkel;0.6984282907662083
parteitag;cdu;0.7205882352941176
heut;merkel;0.7399598393574297
frau;merkel;0.7408590699325523
deutsch;merkel;0.7536036036036036
schon;merkel;0.7540983606557377
volk;merkel;0.7564259485924113
imm;merkel;0.7572463768115942
wer;merkel;0.7667304015296367
endlich;merkel;0.7675194660734149
gut;merkel;0.7728585178055823
jahr;merkel;0.7751666082076465
uns;merkel;0.7809611829944547
halt;merkel;0.7827191867852605
mal;merkel;0.7842401500938087
csu;merkel;0.788782816229117
europa;merkel;0.7896494156928213
sagt;merkel;0.7907542579075426
gibt;merkel;0.7953367875647669
geht;merkel;0.8054945054945055
macht;merkel;0.8078641644325291
schaff;merkel;0.8107876712328768
fluchtling;merkel;0.8129935391241924
mensch;merkel;0.8240437158469945
sag;merkel;0.8292319164802386
islam;merkel;0.8299881936245572
mehr;merkel;0.8301787592008412
kanzlerin;merkel;0.836635843240863
2015;merkel;0.8403141361256544
eigentlich;merkel;0.8406747891283973
viel;merkel;0.8469750889679716
dank;merkel;0.8507295173961841
dass;merkel;0.8530157121135327
kommt;merkel;0.8564981949458483
person;merkel;0.8627103631532329
via;merkel;0.8725868725868726
wurd;merkel;0.8748435544430538
seit;merkel;0.8751472320376914
amp;merkel;0.8754301445285616
politik;merkel;0.8759643916913946
tim;merkel;0.8871866295264624
neu;merkel;0.9027504911591355
https;merkel;0.9055207740466704
afd;merkel;0.9144862795149968
krieg;merkel;0.9169960474308301
neujahrsansprach;merkel;0.9287288758265981
link;merkel;0.9317548746518106
turkei;merkel;0.9442379182156134
deutschland;merkel;0.9450155390867798
horst;seehof;0.9494949494949495
angela;merkel;0.9715229054890632
pegida;merkel;0.9836289222373806
merkel,  parteitag;cdu;0.6524096385542169
merkel,  person;jahr;0.6786447638603696
cdu,  fluchtling;merkel;0.767833981841764
cdupt15,  parteitag;cdu;0.8774038461538461
jahr,  person;merkel;0.9193324061196105
