IF;THEN;CONFIDENCE
asyl;dresd;0.6506447831184057
stadt;dresd,  pegida;0.6579804560260586
stadt;pegida;0.6644951140065146
demo;pegida;0.6655211912943871
dd0911;dresd,  nopegida;0.6678635547576302
kaltland;dresd;0.6686567164179105
mann;dresd,  pegida;0.6715867158671587
deutschland;dresd;0.6727941176470589
novemb;dresd,  endet;0.6733067729083665
novemb;dresd,  furchtbar;0.6733067729083665
novemb;dresd,  hochburg;0.6733067729083665
novemb;endet;0.6733067729083665
novemb;endet,  furchtbar;0.6733067729083665
novemb;endet,  hochburg;0.6733067729083665
novemb;endet,  mann;0.6733067729083665
novemb;endet,  pegida;0.6733067729083665
novemb;endet,  reinig;0.6733067729083665
novemb;endet,  stolperstein;0.6733067729083665
novemb;furchtbar;0.6733067729083665
novemb;furchtbar,  hochburg;0.6733067729083665
novemb;furchtbar,  mann;0.6733067729083665
novemb;furchtbar,  pegida;0.6733067729083665
novemb;furchtbar,  reinig;0.6733067729083665
novemb;furchtbar,  stolperstein;0.6733067729083665
novemb;hochburg;0.6733067729083665
novemb;hochburg,  mann;0.6733067729083665
novemb;hochburg,  pegida;0.6733067729083665
novemb;hochburg,  reinig;0.6733067729083665
novemb;hochburg,  stolperstein;0.6733067729083665
mann;pegida;0.6752767527675276
dresd;pegida;0.6794210053859964
paris;dresd;0.6798418972332015
gibt;recht;0.6851851851851852
dass;recht;0.6852589641434262
novemb;dresd,  mann;0.6852589641434262
novemb;dresd,  reinig;0.6852589641434262
novemb;mann;0.6852589641434262
novemb;mann,  pegida;0.6852589641434262
novemb;mann,  reinig;0.6852589641434262
novemb;mann,  stolperstein;0.6852589641434262
novemb;reinig;0.6852589641434262
novemb;pegida,  reinig;0.6852589641434262
novemb;reinig,  stolperstein;0.6852589641434262
herzstatthetz;dresd,  nopegida;0.691358024691358
mehr;dresd;0.6923076923076923
dd0911;nopegida;0.696588868940754
strass;dresd;0.7007575757575758
berlin;pegida;0.7202072538860104
berlin;dresd,  pegida;0.7202072538860104
leipzig;dresd;0.7216117216117216
500;recht;0.7227722772277227
mensch;dresd;0.728310502283105
herzstatthetz;nopegida;0.7283950617283951
heut;dresd;0.7309458218549127
novemb;dresd,  stolperstein;0.7370517928286853
novemb;stolperstein;0.7370517928286853
novemb;pegida,  stolperstein;0.7370517928286853
