IF;THEN;CONFIDENCE
lieb;seehof;0.6505847953216374
berlin;spd;0.6528384279475983
merkel;cdu;0.6591033351558229
best;rundfunk;0.667574931880109
best;deutsch,  rundfunk;0.667574931880109
best;deutsch;0.6684831970935513
sod;seehof;0.6703853955375254
faz;horst,  zeit;0.6856796116504854
faz;lieb,  zeit;0.6905339805825242
faz;seehof,  zeit;0.6905339805825242
afd;spd;0.7040690505548706
merkel;csu;0.711864406779661
faz;zeit;0.712378640776699
link;spd;0.7134615384615385
fdp;cdu,  spd;0.7335390946502057
grun;spd;0.7552050473186119
merkelmussweg;cdu;0.775438596491228
fdp;spd;0.8137860082304527
parteitag;csu;0.8239700374531835
faz;horst,  lieb;0.8361650485436893
faz;lieb,  seehof;0.8422330097087378
faz;horst,  seehof;0.8434466019417476
helmutschmidt;spd;0.8438095238095238
faz;horst;0.845873786407767
faz;lieb;0.8495145631067961
faz;seehof;0.8580097087378641
afd;cdu;0.8662145499383477
fdp;cdu;0.8930041152263375
gabriel;spd;0.8972198820556023
nzz;horst,  zeit;0.9551401869158879
nzz;lieb,  zeit;0.9588785046728971
nzz;seehof,  zeit;0.9588785046728971
nzz;faz,  zeit;0.9644859813084112
nzz;zeit;0.9644859813084112
nzz;horst,  lieb;0.9682242990654205
nzz;horst,  seehof;0.9700934579439252
horst;seehof;0.9717444717444718
nzz;faz,  horst;0.9719626168224299
nzz;lieb,  seehof;0.9719626168224299
nzz;horst;0.9738317757009346
nzz;faz,  lieb;0.9757009345794393
nzz;faz,  seehof;0.9757009345794393
nzz;lieb;0.9775700934579439
nzz;seehof;0.9775700934579439
nzz;faz;0.9813084112149533
rundfunk;best;0.9919028340080972
rundfunk;best,  deutsch;0.9919028340080972
rundfunk;deutsch;0.9919028340080972
merkel,  spd;cdu;0.6849881796690307
horst,  lieb;nzz;0.686092715231788
csu,  merkel;cdu;0.6870199692780338
fluchtling,  merkel;csu;0.7015873015873015
cdu,  link;grun;0.7040905134899913
afd,  cdu;spd;0.7124555160142348
faz,  seehof;nzz;0.7383309759547383
cdu,  merkel;csu;0.7420157610949814
horst,  lieb;zeit;0.7443708609271523
faz,  lieb;nzz;0.7457142857142857
faz,  horst;nzz;0.7460545193687231
csu,  grun;spd;0.7673160173160173
lieb,  seehof;faz;0.7797752808988764
fluchtling,  merkel;cdu;0.7841269841269841
link,  spd;grun;0.784366576819407
seehof,  zeit;nzz;0.7892307692307692
cdu,  link;spd;0.7946040034812881
faz,  seehof;zeit;0.8048090523338048
faz,  horst;zeit;0.8106169296987088
csu,  grun;cdu;0.8127705627705628
faz,  lieb;zeit;0.8128571428571428
cdu,  fdp;spd;0.8214285714285714
lieb,  seehof;horst;0.8449438202247191
merkel,  seehof;csu;0.8511848341232228
afd,  grun;cdu;0.8583196046128501
csu,  spd;cdu;0.86468200270636
seehof,  zeit;horst;0.8707692307692307
seehof,  zeit;lieb;0.8707692307692307
cdu,  grun;spd;0.8726190476190476
seehof,  zeit;faz;0.8753846153846154
afd,  spd;cdu;0.8765323992994746
lieb,  zeit;nzz;0.8784246575342466
faz,  zeit;nzz;0.879045996592845
afd,  csu;cdu;0.8814139110604333
horst,  zeit;nzz;0.8980667838312829
csu,  link;cdu;0.9
fdp,  spd;cdu;0.9013906447534766
parteitag,  seehof;csu;0.9038854805725971
horst,  lieb;faz;0.9125827814569536
grun,  link;spd;0.9245432883240667
afd,  link;spd;0.9307359307359307
csu,  fdp;cdu;0.9349593495934959
fdp,  grun;spd;0.9392156862745098
fdp,  grun;cdu;0.9450980392156862
deutsch,  deutschland;best;0.9540481400437637
deutsch,  deutschland;rundfunk;0.9540481400437637
lieb,  zeit;horst;0.9623287671232876
faz,  zeit;horst;0.9625212947189097
afd,  grun;spd;0.9654036243822076
lieb,  zeit;seehof;0.9691780821917808
faz,  zeit;lieb;0.969335604770017
faz,  zeit;seehof;0.969335604770017
lieb,  zeit;faz;0.9743150684931506
best,  deutschland;deutsch;0.9797752808988764
best,  deutschland;rundfunk;0.9797752808988764
horst,  nzz;zeit;0.980806142034549
lieb,  nzz;zeit;0.9808795411089866
nzz,  seehof;zeit;0.9808795411089866
faz,  seehof;lieb;0.9816124469589816
faz,  nzz;zeit;0.9828571428571429
faz,  seehof;horst;0.983026874115983
faz,  lieb;horst;0.9842857142857143
horst,  zeit;lieb;0.9876977152899824
faz,  horst;lieb;0.9885222381635581
nzz,  zeit;horst;0.9903100775193798
lieb,  nzz;horst;0.9904397705544933
faz,  nzz;horst;0.9904761904761905
faz,  lieb;seehof;0.9914285714285714
nzz,  seehof;horst;0.9923518164435946
horst,  zeit;faz;0.9929701230228472
nzz,  zeit;lieb;0.9941860465116279
nzz,  zeit;seehof;0.9941860465116279
horst,  nzz;lieb;0.9942418426103646
nzz,  seehof;lieb;0.994263862332696
lieb,  nzz;seehof;0.994263862332696
faz,  nzz;lieb;0.9942857142857143
faz,  nzz;seehof;0.9942857142857143
horst,  zeit;seehof;0.9947275922671354
horst,  lieb;seehof;0.9960264900662251
horst,  nzz;seehof;0.9961612284069098
faz,  horst;seehof;0.9971305595408895
horst,  nzz;faz;0.9980806142034548
lieb,  nzz;faz;0.9980879541108987
nzz,  seehof;faz;0.9980879541108987
best,  deutsch;rundfunk;0.998641304347826
deutsch,  rundfunk;best;1.0
best,  rundfunk;deutsch;1.0
deutschland,  rundfunk;best;1.0
deutschland,  rundfunk;deutsch;1.0
nzz,  zeit;faz;1.0
