IF;THEN;CONFIDENCE
strafanzeig;afd;0.6741344195519349
strafanzeig;afd,  merkel;0.6741344195519349
fluchtlingskris;merkel;0.7913779830638953
frau;merkel;0.8411719352351581
gibt;merkel;0.8626430801248699
schaff;merkel;0.8629700446144041
fluchtlingspolitik;merkel;0.8677316293929712
sagt;merkel;0.8953488372093024
klar;merkel;0.9028901734104047
warum;merkel;0.9063324538258575
richtig;merkel;0.9078341013824884
hatt;merkel;0.9141494435612083
dank;merkel;0.9177570093457944
holland;merkel;0.9220183486238532
viel;merkel;0.9220246238030095
land;merkel;0.9231939163498099
wer;merkel;0.9273318872017353
kanzlerin;merkel;0.927490234375
dass;merkel;0.9297253634894992
frag;merkel;0.9306071871127634
macht;merkel;0.9321428571428572
gut;merkel;0.9325077399380804
bekommt;merkel;0.9357664233576642
schon;merkel;0.9437751004016064
deutsch;merkel;0.9470013947001394
weg;merkel;0.9473293768545994
war;merkel;0.9473684210526315
halt;merkel;0.9483627204030227
komm;merkel;0.9484702093397746
bundeskanzlerin;merkel;0.9492600422832981
via;merkel;0.9517857142857142
ausland;merkel;0.9521963824289406
ann;merkel;0.9550724637681159
cdu;merkel;0.9551656920077972
burg;merkel;0.9561510353227771
obama;merkel;0.9579579579579579
recht;merkel;0.9586776859504132
amp;merkel;0.9599474720945502
tag;merkel;0.9615384615384616
mehr;merkel;0.962605548854041
annewill;merkel;0.9631074272712498
https;merkel;0.9636627906976745
grenz;merkel;0.9644495412844036
geht;merkel;0.9665991902834008
bay;merkel;0.967373572593801
uns;merkel;0.9676339285714286
china;merkel;0.967741935483871
imm;merkel;0.9680082559339526
erst;merkel;0.96843853820598
mal;merkel;0.9690566037735849
friedensnobelpreis;merkel;0.9690635451505016
regierung;merkel;0.9695652173913043
heut;merkel;0.9696029776674938
neu;merkel;0.9708029197080292
jahr;merkel;0.9724655819774718
kommt;merkel;0.9725433526011561
volk;merkel;0.9738276990185387
muss;merkel;0.9747003994673769
ganz;merkel;0.974937343358396
spd;merkel;0.9778733866011063
http;merkel;0.9799163179916318
seehof;merkel;0.980894153611005
asyl;merkel;0.9826771653543307
angela;merkel;0.9832073887489504
deutschland;merkel;0.9835390946502057
mensch;merkel;0.9835858585858586
rucktritt;merkel;0.9840182648401826
fluchtling;merkel;0.984354105375769
ard;merkel;0.984641638225256
seit;merkel;0.9868995633187773
csu;merkel;0.9891458235016517
gabriel;merkel;0.9895522388059701
europa;merkel;0.9899726526891522
strafanzeig;merkel;0.9928716904276986
syri;merkel;0.9935794542536116
berlin;merkel;0.9959294436906377
politik;merkel;0.997997997997998
afd;merkel;1.0
kulturgeschicht;merkel;1.0
merkel,  strafanzeig;afd;0.678974358974359
cdu,  csu;merkel;0.9957582184517497
afd,  strafanzeig;merkel;1.0
deutschland,  fluchtling;merkel;1.0
