IF;THEN;CONFIDENCE
burg;merkel;0.6507936507936508
burg;merkel,  merkelmussweg;0.6507936507936508
friedensnobelpreis;merkel;0.6524822695035462
friedensnobelpreis;merkel,  merkelmussweg;0.6524822695035462
refugeesnotwelcom;merkelmussweg;0.6830357142857143
wohl;merkelmussweg;0.7109004739336493
invasion;merkelmussweg;0.7189189189189189
aktion;taglich;0.7710843373493976
aktion;merkel,  taglich;0.7710843373493976
aktion;merkelmussweg,  taglich;0.7710843373493976
aktion;taglich,  uhr;0.7710843373493976
frau;merkel;0.7762237762237763
frau;merkel,  merkelmussweg;0.7762237762237763
asylflut;merkelmussweg;0.7866666666666666
uhr;merkel;0.7897196261682243
uhr;merkel,  merkelmussweg;0.7897196261682243
unterschreib;merkel,  vorall;0.803921568627451
unterschreib;merkel,  weiterleit;0.803921568627451
bundestag;annewill;0.8099173553719008
bundestag;annewill,  genoss;0.8099173553719008
bundestag;annewill,  gewahlt;0.8099173553719008
bundestag;annewill,  inkompetent;0.8099173553719008
bundestag;annewill,  merkel;0.8099173553719008
bundestag;annewill,  merkelmussweg;0.8099173553719008
bundestag;annewill,  person;0.8099173553719008
bundestag;annewill,  wer;0.8099173553719008
bundestag;genoss;0.8099173553719008
bundestag;gewahlt;0.8099173553719008
bundestag;genoss,  gewahlt;0.8099173553719008
bundestag;inkompetent;0.8099173553719008
bundestag;genoss,  inkompetent;0.8099173553719008
bundestag;gewahlt,  inkompetent;0.8099173553719008
bundestag;genoss,  merkel;0.8099173553719008
bundestag;gewahlt,  merkel;0.8099173553719008
bundestag;inkompetent,  merkel;0.8099173553719008
bundestag;genoss,  merkelmussweg;0.8099173553719008
bundestag;gewahlt,  merkelmussweg;0.8099173553719008
bundestag;inkompetent,  merkelmussweg;0.8099173553719008
bundestag;person;0.8099173553719008
bundestag;genoss,  person;0.8099173553719008
bundestag;gewahlt,  person;0.8099173553719008
bundestag;inkompetent,  person;0.8099173553719008
bundestag;merkel,  person;0.8099173553719008
bundestag;merkelmussweg,  person;0.8099173553719008
bundestag;wer;0.8099173553719008
bundestag;genoss,  wer;0.8099173553719008
bundestag;gewahlt,  wer;0.8099173553719008
bundestag;inkompetent,  wer;0.8099173553719008
bundestag;merkel,  wer;0.8099173553719008
bundestag;merkelmussweg,  wer;0.8099173553719008
bundestag;person,  wer;0.8099173553719008
unterschreib;merkel;0.8137254901960784
unterschreib;merkel,  merkelmussweg;0.8137254901960784
aktion;uhr;0.8192771084337349
aktion;merkel,  uhr;0.8192771084337349
aktion;merkelmussweg,  uhr;0.8192771084337349
taglich;aktion;0.8205128205128205
taglich;aktion,  merkel;0.8205128205128205
taglich;aktion,  merkelmussweg;0.8205128205128205
taglich;aktion,  uhr;0.8205128205128205
taglich;merkel,  uhr;0.8205128205128205
taglich;merkelmussweg,  uhr;0.8205128205128205
taglich;uhr;0.8205128205128205
unterschreib;merkelmussweg,  vorall;0.8235294117647058
unterschreib;vorall;0.8235294117647058
unterschreib;vorall,  weiterleit;0.8235294117647058
flucht;fluchtling;0.8244274809160306
flucht;fluchtling,  merkelmussweg;0.8244274809160306
person;annewill;0.8305084745762712
person;annewill,  bundestag;0.8305084745762712
person;annewill,  genoss;0.8305084745762712
person;annewill,  gewahlt;0.8305084745762712
person;annewill,  inkompetent;0.8305084745762712
person;annewill,  merkel;0.8305084745762712
person;annewill,  merkelmussweg;0.8305084745762712
person;annewill,  wer;0.8305084745762712
person;bundestag;0.8305084745762712
person;bundestag,  genoss;0.8305084745762712
person;bundestag,  gewahlt;0.8305084745762712
person;bundestag,  inkompetent;0.8305084745762712
person;bundestag,  merkel;0.8305084745762712
person;bundestag,  merkelmussweg;0.8305084745762712
person;bundestag,  wer;0.8305084745762712
person;genoss;0.8305084745762712
person;genoss,  gewahlt;0.8305084745762712
person;genoss,  inkompetent;0.8305084745762712
person;genoss,  merkel;0.8305084745762712
person;genoss,  merkelmussweg;0.8305084745762712
person;genoss,  wer;0.8305084745762712
person;gewahlt;0.8305084745762712
person;gewahlt,  inkompetent;0.8305084745762712
person;gewahlt,  merkel;0.8305084745762712
person;gewahlt,  merkelmussweg;0.8305084745762712
person;gewahlt,  wer;0.8305084745762712
person;inkompetent;0.8305084745762712
person;inkompetent,  merkel;0.8305084745762712
person;inkompetent,  merkelmussweg;0.8305084745762712
person;inkompetent,  wer;0.8305084745762712
person;merkel,  wer;0.8305084745762712
person;merkelmussweg,  wer;0.8305084745762712
person;wer;0.8305084745762712
aktion;merkel;0.8313253012048193
aktion;merkel,  merkelmussweg;0.8313253012048193
taglich;merkel;0.8397435897435898
taglich;merkel,  merkelmussweg;0.8397435897435898
aktion;merkelmussweg;0.8433734939759037
weiterleit;merkel,  unterschreib;0.845360824742268
weiterleit;merkel,  vorall;0.845360824742268
unterschreib;merkelmussweg,  weiterleit;0.8529411764705882
unterschreib;weiterleit;0.8529411764705882
annewill;merkel;0.8533724340175953
annewill;merkel,  merkelmussweg;0.8533724340175953
weiterleit;merkelmussweg,  vorall;0.865979381443299
weiterleit;unterschreib,  vorall;0.865979381443299
weiterleit;vorall;0.865979381443299
neuwahl;merkelmussweg;0.8910891089108911
asylant;merkelmussweg;0.8947368421052632
volk;merkelmussweg;0.8956228956228957
weiterleit;merkelmussweg,  unterschreib;0.8969072164948454
weiterleit;unterschreib;0.8969072164948454
gewahlt;annewill;0.8990825688073395
gewahlt;annewill,  bundestag;0.8990825688073395
gewahlt;annewill,  genoss;0.8990825688073395
gewahlt;annewill,  inkompetent;0.8990825688073395
gewahlt;annewill,  merkel;0.8990825688073395
gewahlt;annewill,  merkelmussweg;0.8990825688073395
gewahlt;annewill,  person;0.8990825688073395
gewahlt;annewill,  wer;0.8990825688073395
gewahlt;bundestag;0.8990825688073395
gewahlt;bundestag,  genoss;0.8990825688073395
gewahlt;bundestag,  inkompetent;0.8990825688073395
gewahlt;bundestag,  merkel;0.8990825688073395
gewahlt;bundestag,  merkelmussweg;0.8990825688073395
gewahlt;bundestag,  person;0.8990825688073395
gewahlt;bundestag,  wer;0.8990825688073395
gewahlt;genoss;0.8990825688073395
gewahlt;genoss,  inkompetent;0.8990825688073395
gewahlt;genoss,  merkel;0.8990825688073395
gewahlt;genoss,  merkelmussweg;0.8990825688073395
gewahlt;genoss,  person;0.8990825688073395
gewahlt;genoss,  wer;0.8990825688073395
gewahlt;inkompetent;0.8990825688073395
gewahlt;inkompetent,  merkel;0.8990825688073395
gewahlt;inkompetent,  merkelmussweg;0.8990825688073395
gewahlt;person;0.8990825688073395
gewahlt;inkompetent,  person;0.8990825688073395
gewahlt;merkel,  person;0.8990825688073395
gewahlt;merkelmussweg,  person;0.8990825688073395
gewahlt;wer;0.8990825688073395
gewahlt;inkompetent,  wer;0.8990825688073395
gewahlt;merkel,  wer;0.8990825688073395
gewahlt;merkelmussweg,  wer;0.8990825688073395
gewahlt;person,  wer;0.8990825688073395
sofortig;merkelmussweg;0.9010989010989011
genoss;merkel;0.9012345679012346
genoss;merkel,  merkelmussweg;0.9012345679012346
taglich;merkelmussweg;0.9038461538461539
aufnahmestopp;merkelmussweg;0.9090909090909091
bundestag;merkel;0.9173553719008265
bundestag;merkel,  merkelmussweg;0.9173553719008265
gewahlt;merkel;0.9174311926605505
gewahlt;merkel,  merkelmussweg;0.9174311926605505
flucht;merkelmussweg;0.9236641221374046
weiterleit;merkel;0.9278350515463918
weiterleit;merkel,  merkelmussweg;0.9278350515463918
genoss;merkelmussweg;0.9320987654320988
person;merkel;0.9322033898305084
person;merkel,  merkelmussweg;0.9322033898305084
angela;merkel;0.9327731092436975
angela;merkel,  merkelmussweg;0.9327731092436975
asylchaos;merkelmussweg;0.94
unterschreib;merkelmussweg;0.9411764705882353
sofortig;rucktritt;0.945054945054945
rucktritt;merkel;0.9476190476190476
rucktritt;merkel,  merkelmussweg;0.9476190476190476
endlich;merkelmussweg;0.949438202247191
ford;merkelmussweg;0.9540229885057471
bevor;merkelmussweg;0.9541284403669725
gewahlt;merkelmussweg;0.9541284403669725
lasst;merkelmussweg;0.9572649572649573
rucktritt;merkelmussweg;0.9619047619047619
macht;merkelmussweg;0.9668508287292817
gut;merkelmussweg;0.967479674796748
kommt;merkelmussweg;0.9701492537313433
person;merkelmussweg;0.9745762711864406
burg;merkelmussweg;0.9761904761904762
vorall;merkel;0.9761904761904762
vorall;merkel,  merkelmussweg;0.9761904761904762
vorall;merkel,  unterschreib;0.9761904761904762
vorall;merkel,  weiterleit;0.9761904761904762
zuruck;merkelmussweg;0.9770114942528736
war;merkelmussweg;0.9782608695652174
regierung;merkelmussweg;0.9791666666666666
ganz;merkelmussweg;0.9830508474576272
paar;merkelmussweg;0.9879518072289156
dank;merkelmussweg;0.9895833333333334
frag;merkelmussweg;0.99
imm;merkelmussweg;0.9923076923076923
uhr;merkelmussweg;0.9953271028037384
schon;merkelmussweg;0.9965870307167235
wer;merkelmussweg;0.9969512195121951
afd;merkelmussweg;1.0
angela;merkelmussweg;1.0
inkompetent;annewill;1.0
inkompetent;annewill,  bundestag;1.0
